Gender,International,Major,Height,ShoeSize,Age,Country,Language
Male,Domestic,Mechatronics Stream Electives ,175,9,18,Australia,Bengali
Male,Domestic,Mathematics,173,10.5,23,Australia,English
Male,Domestic,Computer Science ans Statistics,169,8,17,Australia,Cantonese
Male,Domestic,Applied Medical Science ,175,9,18,United States of America,English
Male,Domestic,Composition for Creative Industries,177,11,19,Germany,English
Female,International,psychology,165,7.5,18,China,Chinese
Female,International,Mathematics,172,9,22,China,Chinese
Male,Domestic,Double Major: Nanoscience/Nanotechnology (with Physics) and Mathematics,184,9,17,Australia,English
Female,Domestic,Psychology ,168,8,18,Australia ,Arabic 
Prefer not to say,Domestic,Bachelor of science and advanced studies,168,39,18,China (mainland),Mandarin 
Female,International,"Bachelor of Arts, majoring in politics and international relations",172,7,17,New Zealand,English
Male,Domestic,Bachelor of Science/Doctor of Medicine,183,11.5,18,Australia,English
Female,Domestic,Software,158,7.5,19,India,Kannada
Female,Domestic,Medical Science/Geophysics,162,8,18,Australia,English
Male,International,Mechanical Engineering,189,12,21,China,Mandarin Chinese
Female,Domestic,Criminology,166,8,17,Australia,English
Female,Domestic,Physiology,152,8,17,Australia,Hindi
Male,Domestic,mechatronics,182,11,18,Aus,English
Female,International, the Bachelor of Science and Master of Nutrition and Dietetics,166,8.5,20,China,Mandarin
Female,Domestic,Medical sciences/anatomy and histology,151,7,17,Pakistan,Urdu but I speak english
Female,International,Psychology ,168,9,18,Russia ,Russian 
Female,Domestic,psychological science,152,6.5,18,bangladesh,bangla
Male,Domestic,Financial Mathematics & Statistics,170,12,21,Australia,English
Female,International,Neuroscience,158,7,19,United Kingdom,English
Female,Domestic,Civil Engineering ,163,7,18,Australia ,English
Male,Domestic,Philosophy,180,11,18,Australia,English
Female,Domestic,Financial Maths and Stats,170,7,17,China,Chinese
Male,Domestic,Math/Physics,180,NA,19,Australia,English
Male,International,Health,174,9.5,27,Republic of Korea,Korean
Female,International,Psychology,155,5.5,21,China,Chinese
Male,International,Mathematic and Statistic,159,7,20,Malaysia,Malay
Female,Domestic,Chemistry,165,6,18,Australia,English
Male,Domestic,Physics,180,11,18,Australia,English
Female,International,math,164,7,22,China,Chinese
Male,Domestic,Chemistry,178,9.5,18,New Zealand,Farsi
Female,Domestic,Biology and Microbiology,175,6.5,26,Iceland,Icelandic
Female,Domestic,physics and chemistry,163,7,21,australia,english
Male,Domestic,Mathematics,173,10.5,23,Australia,English
Female,International,biochemistry,173,42.5,19,Chian,Chinese
Female,Domestic,Computer Science,172,7.5,17,Bangladesh,Bengali
Male,Domestic,NA,180,11,18,Australia,English
